year	state	tot	tot_m	tot_m_under_5_yrs	tot_m_5_to_9_yrs	tot_m_10_to_14_yrs	tot_m_15_to_17_yrs	tot_m_18_and_19_yrs	tot_m_20_yrs	tot_m_21_yrs	tot_m_22_to_24_yrs	tot_m_25_to_29_yrs	tot_m_30_to_34_yrs	tot_m_35_to_39_yrs	tot_m_40_to_44_yrs	tot_m_45_to_49_yrs	tot_m_50_to_54_yrs	tot_m_55_to_59_yrs	tot_m_60_and_61_yrs	tot_m_62_to_64_yrs	tot_m_65_and_66_yrs	tot_m_67_to_69_yrs	tot_m_70_to_74_yrs	tot_m_75_to_79_yrs	tot_m_80_to_84_yrs	tot_m_85_yrs_and_over	tot_f	tot_f_under_5_yrs	tot_f_5_to_9_yrs	tot_f_10_to_14_yrs	tot_f_15_to_17_yrs	tot_f_18_and_19_yrs	tot_f_20_yrs	tot_f_21_yrs	tot_f_22_to_24_yrs	tot_f_25_to_29_yrs	tot_f_30_to_34_yrs	tot_f_35_to_39_yrs	tot_f_40_to_44_yrs	tot_f_45_to_49_yrs	tot_f_50_to_54_yrs	tot_f_55_to_59_yrs	tot_f_60_and_61_yrs	tot_f_62_to_64_yrs	tot_f_65_and_66_yrs	tot_f_67_to_69_yrs	tot_f_70_to_74_yrs	tot_f_75_to_79_yrs	tot_f_80_to_84_yrs	tot_f_85_yrs_and_over
2019	MA	6850553	3324207	184591	183921	204666	127189	102416	51247	49999	143312	251951	235460	208330	201918	218469	236953	234920	87693	122408	71894	95531	125392	79264	54353	52330	3526346	176425	181968	190991	121509	105744	50401	50068	144423	248208	237866	214195	211924	232329	250351	249462	96171	135986	81362	110082	148936	105241	78358	104346
2019	MI	9965265	4905240	292118	303257	318238	200977	137171	75218	74280	210975	341403	301100	296034	282649	315149	335100	349826	138184	190254	115667	152958	192224	128832	82409	71217	5060025	278976	287808	305096	191408	131943	71500	71444	201376	327180	298092	297858	288829	321928	345081	368182	145389	204899	124491	168528	221549	159336	113276	135856
2019	MN	5563378	2770873	180180	186179	186170	110623	72410	37386	36120	108119	191022	195106	187712	165740	172394	183867	194157	72577	102628	59997	78804	97641	67035	43625	41381	2792505	171484	177681	178515	105016	69464	35133	34639	107359	180720	189489	181728	161897	168379	184028	199114	73883	103761	62264	84920	107113	80710	60683	74525
2019	MS	2984418	1447873	95204	102265	103765	63265	44304	22965	22392	60701	101259	89411	92385	88087	88245	91743	93643	37243	50738	30908	42067	53727	37341	20558	15657	1536545	91443	95132	102443	59976	43138	23181	22132	56442	101941	95033	99681	91147	94653	98173	103167	39576	58523	34658	48357	63956	46185	33178	34430
2019	MO	6104910	2995725	190266	194254	201182	121641	82080	43926	44133	123433	208704	199400	194276	172941	182889	196184	205640	80273	111100	64004	88986	116331	79726	51262	43094	3109185	181304	185863	191693	115409	76775	42157	40495	120250	206547	198756	192901	178065	188193	202661	220688	84819	119287	72107	100768	135530	101735	71503	81679
2019	MT	1050649	528573	31547	32638	33659	19676	14175	8105	7738	22426	34823	33265	33553	30030	29898	31863	35650	16126	22223	14123	18984	24134	16352	9600	7985	522076	29488	30578	32279	18521	12570	6412	6836	20706	32843	32473	32484	28348	28995	32157	38418	16481	22954	14034	19055	24299	17566	11504	13075
2019	NE	1914571	954950	67670	67575	68388	39705	27165	14002	14687	41010	64937	65882	63955	56249	55272	57660	60950	24876	33321	20335	25915	32915	22838	15332	14311	959621	63803	64665	64673	37628	25704	14261	13655	38954	61260	63018	63024	53222	53509	57268	62693	24096	35765	20777	28919	36678	27024	21879	27146
2019	NV	2972382	1491294	93629	97101	98880	58234	33923	19265	19123	54331	112293	108898	102589	97382	100303	98246	95045	35020	50948	31233	44767	60382	39973	23489	16240	1481088	89905	91641	96296	55356	31178	18116	17439	53270	108337	104137	98926	96534	97298	94919	95024	37568	54047	34975	47659	64618	43514	26033	24298
2019	NH	1348124	667689	32629	35913	39131	25339	19082	9831	8612	27797	43695	41600	38159	38708	45627	51219	54806	20033	27835	17117	22820	28423	17556	11230	10527	680435	31214	34231	37652	23855	18886	9038	8912	25665	39749	40149	38420	39415	46274	52522	56456	21345	28530	17695	24218	31183	21343	14990	18693
2019	NJ	8878503	4335032	265206	272935	286319	176704	111239	55792	58466	168892	291657	286134	283984	279559	298842	314920	308338	115872	154410	88911	120671	154812	105954	69202	66213	4543471	254318	263429	273737	168873	103627	53432	53171	165984	278157	282312	291669	282116	313033	332796	328726	126402	167167	101045	139941	188530	140178	103495	131333
2019	NM	2092454	1036190	64429	68180	74163	42757	28875	14284	16466	44819	73483	71354	67520	58010	59118	61493	65950	26830	37532	23676	31957	43623	28479	18490	14702	1056264	61721	67207	69317	40702	27031	14811	13727	40594	69087	67679	63689	60213	60330	65346	71852	28559	42639	26525	36933	47410	33765	22903	24224
2019	NY	19572319	9501001	590459	564601	586741	359109	256892	136233	131364	395860	741840	690784	619075	577791	617208	652591	646211	250699	335279	201650	264453	343853	233901	155772	148635	10071318	563742	538811	561652	343384	251407	132410	130917	396800	739676	693650	637305	598836	648524	694758	692335	278508	370561	228867	310496	421102	312390	232280	292907
2019	NC	10264876	4996638	309721	320727	339855	202556	145319	76660	75374	211168	352512	322380	312212	320863	337645	333436	326968	125115	172944	107801	148672	192963	126694	75679	59374	5268238	295404	309820	323224	195307	141496	69495	66558	198333	353987	333698	333595	331363	352655	352545	356872	138994	198062	123508	171720	232130	162049	111800	115623
2019	ND	756717	387555	27209	25724	23978	13221	11533	6981	6899	20183	33164	29494	25292	21329	20505	22417	24779	10165	13213	8113	9910	12416	8735	5897	6398	369162	26006	24941	22050	12615	9956	5515	5600	19238	28212	24609	22271	19254	19175	21413	24458	9186	13249	7562	9907	13331	10133	8864	11617
2019	OH	11655397	5711765	355693	361228	381146	234620	158923	83045	80797	224157	399629	366263	353854	338033	364503	382462	402113	158276	217424	132156	175690	213511	148415	94738	85089	5943632	339018	344085	365929	223291	152137	78500	79094	217957	389805	366178	356500	343360	372220	395148	423321	169116	236278	144209	196479	254594	193012	137687	165714
2019	OK	3932870	1949528	133835	136290	138420	81242	55592	30656	30360	82906	140485	135434	127313	117294	115501	118444	123565	46639	66857	39255	53328	71375	48649	31155	24933	1983342	127481	129228	133618	76850	50672	30762	28006	74864	136035	131457	126218	115682	114719	120152	129984	50841	72074	43077	61337	82209	59981	43376	44719
2019	OR	4129803	2047338	118296	123603	127148	75979	49694	27183	27315	81219	149441	147197	144951	131686	131082	126305	129031	53353	79187	51442	68059	85319	55211	34682	29955	2082465	112261	119280	119332	72044	48139	26831	27340	75189	143841	143749	144050	126862	129337	127131	136637	58623	86932	54799	76528	94580	64202	41883	52895
2019	PA	12791530	6265113	361510	367642	391734	241767	176892	86978	86351	246170	440358	413820	383517	361949	403092	432175	452046	177423	246866	148309	199007	250720	172551	114641	109595	6526417	345053	356026	369838	228821	172650	84272	86400	235194	422780	403949	379934	368504	410219	447384	475034	189229	264233	161705	222098	294851	223351	169619	215273
2019	RI	1057231	513792	28040	27961	31065	19044	17167	8437	7764	22787	38786	34983	31882	29420	32925	36384	36410	14681	19436	11766	15829	19172	13272	8708	7873	543439	26632	28016	28168	18418	18379	9326	8531	20296	37226	34222	32979	29076	34902	38882	39928	15933	21256	13161	16754	23345	16543	13120	18346
2019	SC	5020806	2435472	148386	156379	161165	95819	73177	37512	36795	95861	170444	154303	149815	147291	152959	159017	160216	63007	89469	55814	82413	107609	69474	39418	29129	2585334	142545	151115	154416	92677	67389	32689	33745	94165	173965	160522	159871	152471	162945	171995	180847	73333	100943	64934	94587	125578	83660	54673	56269
2019	SD	870638	438946	30755	31310	30111	17545	12606	6320	6584	17920	30290	29487	28718	23929	24161	26303	29587	11273	16961	11060	12832	16177	10490	7332	7195	431692	29644	29227	29271	16245	11161	6110	5423	18013	27237	27357	26132	22786	22824	25761	29730	11393	16930	10272	12851	17465	12809	10163	12888
2019	TN	6709356	3273278	208598	209037	219974	131597	86975	47118	46308	132886	237180	214566	208154	205669	216500	217556	214036	83519	118982	73646	99784	126648	86059	50375	38111	3436078	197840	200705	211097	126072	81817	44576	45178	132185	239613	220386	216950	207468	222848	229902	237175	91565	130200	78823	112465	152048	106536	74070	76559
2019	TX	28260856	14034009	1021356	1028870	1068907	622762	410177	217098	209922	603301	1072395	1038855	981624	932871	895107	852614	821666	303432	409933	242964	323140	406623	269690	168250	132452	14226847	978447	995139	1021683	601281	383424	200921	192709	573305	1031796	1011136	978493	930097	909299	869223	851971	326985	451530	267478	364184	477460	333784	233086	243416
2019	UT	3096848	1558868	128877	133300	135033	77326	46402	23766	27386	80493	121306	111166	115828	98853	84636	75127	74046	29565	40776	24057	31637	40027	27067	17495	14699	1537980	122008	128545	125414	73080	46403	22749	26363	75651	115688	108590	110465	96942	81941	75276	75525	30924	43449	25114	34277	44889	30693	22998	20996
2019	VT	624313	308097	15302	16280	17450	11067	10937	5655	5815	12352	18959	17978	17582	17083	19562	21594	23024	9616	14106	8279	11469	14552	8783	6052	4600	316216	14266	15780	16046	10463	10082	5500	5044	11814	18071	18025	18235	17256	19735	22845	24947	10405	14173	8523	12371	15635	10694	6846	9460
2019	VA	8454463	4159173	261093	261238	269460	161407	120450	61995	59609	177303	300642	292140	282417	265478	275408	282937	277103	106242	141306	85985	118006	148009	97630	61854	51461	4295290	247306	254647	256244	154304	115101	58583	55685	163152	291918	289391	286451	266114	283689	297202	294718	115596	156188	96539	133288	174885	123297	86216	94776
2019	WA	7404107	3703301	233206	238036	231437	138345	90300	50862	49862	152425	294987	282170	262764	233390	237793	233735	238606	93283	132434	81127	105513	137047	85596	54219	46164	3700806	221158	227002	222160	132202	85633	44863	45611	139381	272279	267381	252440	229095	232929	234337	247418	97993	140917	85507	117241	153489	100750	68451	82569
2019	WV	1817305	898578	49961	51175	54433	33367	23661	12576	13011	33880	56614	52158	55153	55904	58711	60554	62926	25948	38940	23413	34921	41717	29105	16777	13673	918727	47579	49968	51720	31235	21069	11948	11666	32629	54631	50713	52808	56436	58110	61158	65833	27619	41097	25755	36768	45684	33878	23426	26997
2019	WI	5790716	2879894	170642	180327	189906	114676	78858	42483	41629	118941	188245	185212	186562	167942	179985	199103	209729	80965	111877	67795	90210	108206	73756	49913	42932	2910822	162542	173801	179138	109871	76482	40425	41081	114209	177454	180573	179430	165875	178020	200489	215257	81194	114222	69698	92459	121782	87862	66395	82563
2019	WY	581024	296202	18997	19680	20185	11441	7794	4805	3920	12315	20577	21129	19158	17896	16840	17706	19927	8898	11202	6802	9668	11486	7356	4719	3701	284822	17544	19482	18587	10455	7031	4307	3197	10768	18873	19295	18442	16310	15739	17286	20356	7747	11673	6427	9478	11579	8419	5624	6203
2019	PR	3318447	1578318	73576	88943	101828	66530	46627	25468	25517	66965	109507	92308	95123	100369	100890	103361	101004	40567	55446	36606	52351	74453	54829	36569	29481	1740129	70047	86264	97680	63478	44951	24715	23950	65949	111738	99643	107961	109078	112383	119636	115948	47753	69508	42423	64035	92647	70601	50218	49523
