YEAR	STUSAB	LOGRECNO	SUMLEVEL	COMPONENT	STATE	COUNTY	PLACEFIPS	TRACT	BLKGRP	CBSA	ZCTA5	Total:	Male:	Under 5 years	5 to 9 years	10 to 14 years	15 to 17 years	18 and 19 years	20 years	21 years	22 to 24 years	25 to 29 years	30 to 34 years	35 to 39 years	40 to 44 years	45 to 49 years	50 to 54 years	55 to 59 years	60 and 61 years	62 to 64 years	65 and 66 years	67 to 69 years	70 to 74 years	75 to 79 years	80 to 84 years	85 years and over	Female:	Under 5 years.1	5 to 9 years.1	10 to 14 years.1	15 to 17 years.1	18 and 19 years.1	20 years.1	21 years.1	22 to 24 years.1	25 to 29 years.1	30 to 34 years.1	35 to 39 years.1	40 to 44 years.1	45 to 49 years.1	50 to 54 years.1	55 to 59 years.1	60 and 61 years.1	62 to 64 years.1	65 and 66 years.1	67 to 69 years.1	70 to 74 years.1	75 to 79 years.1	80 to 84 years.1	85 years and over.1
2018	nd	1	40	00	38	NA	NA	NA	NA	NA	NA	752201	386183	26850	26003	22931	13522	11561	6919	7400	21228	32642	29397	24267	21177	20737	23332	25372	9776	13204	7980	9235	11960	8477	5855	6358	366018	25970	24634	21358	12450	10118	5608	5796	19620	27263	24204	21413	19044	19537	22380	24497	8991	13090	7066	9498	12989	9973	9017	11502
2018	oh	1	40	00	39	NA	NA	NA	NA	NA	NA	11641879	5703967	356158	364904	381863	236227	159095	83433	81108	229404	393824	363447	350595	342335	368484	392569	405748	157204	212336	129721	169754	204267	144488	92737	84266	5937912	339775	348619	365846	224776	152101	78172	79030	224283	385070	363140	351759	348864	376196	407180	429172	166350	229951	142146	189626	245127	186771	136152	167806
2018	ok	1	40	00	40	NA	NA	NA	NA	NA	NA	3918137	1941576	135154	137262	137209	81186	55006	30637	29915	84040	139956	135278	125658	116665	114931	121758	124069	46274	64471	39034	51888	68963	47262	30719	24241	1976561	128838	130543	131984	76530	50273	30957	27648	76954	134805	131742	122208	116843	114977	124032	130974	49921	70209	42598	60063	78917	58739	42796	44010
2018	or	1	40	00	41	NA	NA	NA	NA	NA	NA	4081943	2023021	118970	122957	126795	76339	49816	27326	26926	81255	145960	144020	141355	130661	129889	127306	128966	53391	79320	49550	66626	80271	52718	32741	29863	2058922	112957	119662	118774	71724	48213	27353	26395	75788	140633	141840	138795	126958	127705	129210	137946	58438	85754	53351	72996	89182	60376	41473	53399
2018	pa	1	40	00	42	NA	NA	NA	NA	NA	NA	12791181	6263189	363116	370321	392373	243871	178501	89843	86600	251752	438627	407723	376257	369650	409982	443672	455388	176595	240840	144701	194334	239173	166919	115288	107663	6527992	346134	356853	372450	230212	173742	86458	87445	240147	422317	399081	373085	376230	418134	459506	479286	187882	257247	158387	216160	283264	216092	171292	216588
2018	pr	1	40	00	72	NA	NA	NA	NA	NA	NA	3386941	1612865	80711	94778	106025	69871	47774	26341	26038	69305	110292	95444	98687	102939	103233	105233	101240	41237	54988	35622	53901	72699	53446	35262	27799	1774076	76927	91178	101679	66776	45986	26232	25043	67879	112589	103727	110871	112160	114923	122305	116448	46793	70666	41697	64608	91073	68708	48052	47756
2018	ri	1	40	00	44	NA	NA	NA	NA	NA	NA	1056611	513332	28137	29302	30294	19311	17232	8511	7754	23724	38292	34148	31068	30035	33847	37099	36680	14153	19099	11275	15214	18719	12281	8990	8167	543279	26450	28233	28649	18493	18342	9246	9190	20555	36762	33675	32049	30259	35915	39784	40052	15277	20784	12566	16933	22093	15583	13579	18810
2018	sc	1	40	00	45	NA	NA	NA	NA	NA	NA	4955925	2405726	147614	157158	158505	95185	70760	38450	38070	97990	167118	153268	145983	148438	151865	160572	156799	62383	87687	55157	81342	100618	64710	37848	28206	2550199	142476	150252	153768	91293	66402	32596	33800	96604	171078	157998	156178	152677	161955	173441	177514	71357	99608	64851	91210	117489	77941	53344	56367
2018	sd	1	40	00	46	NA	NA	NA	NA	NA	NA	864289	435761	30977	30696	30106	17744	12278	6402	6585	18210	30057	29579	27302	24139	24337	27377	29641	11162	16463	10764	12331	14955	10305	7280	7071	428528	29430	29294	28910	15909	11125	6060	5710	17770	27370	27283	25175	22987	23068	26921	29562	11194	16658	9643	12936	15953	12326	10051	13193
2018	tn	1	40	00	47	NA	NA	NA	NA	NA	NA	6651089	3243678	206076	211506	217232	131783	85935	47663	46618	133615	230485	211847	206381	207751	215466	219604	213346	81849	115819	73255	97969	121065	82041	49804	36568	3407411	197515	201283	210213	125786	81318	44847	44571	134422	233417	217262	215136	208908	222042	233143	234924	89965	128148	79854	109710	143874	102340	72716	76017
2018	tx	1	40	00	48	NA	NA	NA	NA	NA	NA	27885195	13849775	1022326	1029753	1052203	615659	403141	217800	209558	604014	1055421	1024764	960504	924390	882591	857779	812347	295067	397084	233802	313318	388615	257255	163601	128783	14035420	976543	998398	1005211	592593	375799	198864	195571	572403	1014280	999832	955466	927222	895104	875566	846531	319394	434203	261133	349061	454786	320550	229762	237148
2018	ut	1	40	00	49	NA	NA	NA	NA	NA	NA	3045350	1532768	129503	133298	133551	75775	45260	22094	26760	81064	117104	111862	112895	96042	81757	75563	73856	28600	39689	23124	29952	37894	25777	16723	14625	1512582	123362	128131	123860	71569	44672	22595	26643	75148	112311	108535	108431	93095	79317	75897	75493	29752	41597	24589	32648	42337	30080	22096	20424
2018	vt	1	40	00	50	NA	NA	NA	NA	NA	NA	624977	307973	15391	16449	17800	11376	10848	5426	5569	12681	18658	18035	17074	17672	19930	22383	23844	9566	13424	8240	10721	14106	8228	5924	4628	317004	14285	16075	16150	10820	10178	5216	5016	12002	17823	18298	18188	17616	20166	23822	25428	10368	13850	8110	12301	14778	10214	7240	9060
2018	va	1	40	00	51	NA	NA	NA	NA	NA	NA	8413774	4138574	262126	262476	268863	160621	117869	62634	61179	179327	299119	292064	275908	268434	277972	288812	275455	103456	138449	85367	114500	141649	93247	59520	49527	4275200	247829	256800	253960	154752	114625	58370	56928	165063	290642	288636	281439	270497	286761	303545	292016	113703	153198	95987	129726	165511	118607	82787	93818
2018	wa	1	40	00	53	NA	NA	NA	NA	NA	NA	7294336	3645665	232133	236092	228937	138580	89674	50995	49221	153213	285382	273997	253272	231804	236156	237502	240142	91135	128404	79013	101916	129502	79848	52733	46014	3648671	220875	226486	218358	131414	84684	45955	45545	140231	265299	261517	246460	224820	231612	238984	247031	97320	137607	82458	114092	143506	95236	66736	82445
2018	wv	1	40	00	54	NA	NA	NA	NA	NA	NA	1829054	904196	51075	52365	54629	33334	23822	12696	13304	34599	56442	53366	54838	57543	59124	61837	64397	26362	38742	23682	34347	39409	28334	16488	13461	924858	48216	49735	52415	31604	21573	12830	11802	32971	54446	51994	53372	57009	58670	63121	67839	27711	40552	25817	35548	43909	33205	23833	26686
2018	wi	1	40	00	55	NA	NA	NA	NA	NA	NA	5778394	2872376	172146	182519	190095	114824	79564	41934	42312	120433	185965	186545	182487	168620	183678	204999	210262	79682	108551	67157	85515	102331	71432	48926	42399	2906018	163774	175234	180396	109955	76762	40119	40702	116736	175496	181898	175676	167561	182165	206834	214517	79666	111592	67740	88529	116096	85194	65760	83616
2018	wy	1	40	00	56	NA	NA	NA	NA	NA	NA	581836	296979	19089	19686	20678	11611	7800	4670	4556	12232	20758	21153	19808	17379	17028	18198	19988	8934	11691	6608	9438	10491	6789	4762	3632	284857	18181	19994	18262	10218	7105	4445	3244	10774	19145	19333	18164	16180	15764	17967	20535	8138	11351	6458	8705	11176	8106	5630	5982
